ID,ROC-AUC,Pval,Exercise Type,-Log10 P value,Significant
GSE68072,0.78,0.0279,Training,1.5543957967264024,True
GSE58249,0.57,0.822,Training,0.08512818245994963,False
GSE9103,0.55,0.738,Training,0.13194363817695845,False
GSE28998,0.8,0.0396,Training,1.4023048140744876,True
GSE83352,0.49,0.993,Training,0.0030507515046188267,False
GSE97084,0.52,0.805,Training,0.09420411963213146,False
GSE1718,0.22,0.182,Training,0.7399286120149252,False
GSE179394,0.29,0.0046,Training,2.337242168318426,True
GSE17190,0.49,0.911,Training,0.04048162302700174,False
GSE165630,0.5,0.373,Training,0.4282911681913124,False
GSE155271,0.62,0.329,Training,0.48280410205002566,False
GSE230102,0.48,0.476,Training,0.32239304727950685,False
GSE155933,0.5,0.895,Training,0.04817696468408802,False
GSE43760,0.4,0.394,Training,0.40450377817442584,False
GSE198266,0.78,0.433,Training,0.36351210364663455,False
GSE44051,0.42,0.72,Training,0.14266750356873156,False
GSE60591,0.54,0.487,Training,0.3124710387853657,False
GSE16907,0.53,0.89,Training,0.0506099933550872,False
GSE1832,0.5,0.754,Training,0.12262865413022594,False
GSE87748,0.58,0.301,Training,0.5214335044061567,False
GSE126001,0.33,0.234,Training,0.6307841425898572,False
GSE28498,0.71,0.0386,Training,1.413412695328245,True
GSE41769,0.57,0.407,Training,0.39040559077478,False
GSE21496,0.61,0.263,Training,0.5800442515102421,False
GSE59088,0.46,0.784,Training,0.10568393731556154,False
GSE221210,0.76,0.00387,Training,2.4122890349810886,True
GSE99963,0.91,0.000105,Training,3.9788107009300617,True
GSE51216,0.81,0.191,Training,0.7189666327522725,False
GSE178262,0.81,0.133,Training,0.8761483590329142,False
GSE144304,0.86,1.19e-05,Training,4.924453038607469,True
GSE110747,0.52,0.907,Training,0.04239271293990473,False
GSE236600,0.49,0.672,Training,0.1726307269461747,False
GSE242354,0.21,0.00283,Training,2.54821356447571,True
https://www.msdb.org.cn/,0.57,0.202,Training,0.6946486305533762,False
GSE111555,0.93,2.96e-05,Training,4.528708288941061,True
GSE467,0.78,0.16,Training,0.7958800173440752,False
GSE221210,0.26,0.0107,Immediate,1.9706162223147903,True
GSE46075,0.6,0.375,Immediate,0.42596873227228116,False
E-MTAB-1788,0.35,0.0448,Immediate,1.348721986001856,True
GSE72462,0.36,0.557,Immediate,0.25414480482627105,False
GSE140089,0.17,0.00853,Immediate,2.069050968832477,True
GSE53598,0.31,0.0796,Immediate,1.099086932262331,False
GSE9405,0.12,0.00555,Immediate,2.2557070168773237,True
GSE40551,0.08,0.00207,Immediate,2.684029654543082,True
GSE117070,0.06,1.34e-14,Immediate,13.872895201635192,True
GSE120862,0.08,1.51e-13,Immediate,12.821023052706831,True
GSE109657,0.33,0.139,Immediate,0.8569851997459049,False
GSE5105,0.0,7.27e-22,Immediate,21.138465589140964,True
GSE252357,0.3,0.0507,Immediate,1.294992040666664,False
GSE126296,0.42,0.335,Immediate,0.4749551929631547,False
GSE104079,0.18,0.00655,Immediate,2.183758700008217,True
GSE43856,0.36,0.0952,Immediate,1.0213630516155257,False
GSE11803,0.0,0.0525,Immediate,1.2798406965940432,False
GSE83578,0.05,1.27e-12,Immediate,11.896196279044043,True
GSE250122,0.36,0.155,Immediate,0.8096683018297085,False
GSE122671,0.38,0.0399,Immediate,1.3990271043132518,True
E-MEXP-740,0.31,0.171,Immediate,0.7670038896078462,False
GSE117525,0.39,0.0786,Immediate,1.1045774539605921,False
GSE27536,0.38,0.403,Immediate,0.39469495385889053,False
GSE28422,0.39,0.0207,Immediate,1.6840296545430822,True
GSE24235,0.19,0.0231,Immediate,1.6363880201078558,True
GSE23697,0.43,0.253,Immediate,0.596879478824182,False
GSE19062,0.14,0.000569,Immediate,3.2448877336049287,True
GSE27285,0.33,0.131,Immediate,0.8827287043442358,False
GSE1786,0.06,0.0117,Immediate,1.9318141382538383,True
GSE33603,0.37,0.101,Immediate,0.9956786262173574,False
GSE43219,0.39,0.421,Immediate,0.3757179041643317,False
GSE59363,0.57,0.554,Immediate,0.25649023527157017,False
GSE68585,0.57,0.591,Immediate,0.22841251911874463,False
GSE71972,0.5,0.462,Immediate,0.33535802444387447,False
GSE199225,0.04,6.46e-12,Immediate,11.189767482004916,True
GSE4252,0.27,0.212,Immediate,0.6736641390712486,False
GSE7286,0.17,0.0818,Immediate,1.087246696328677,False
GSE5105,0.0,7.27e-22,Immediate,21.138465589140964,True
GSE19420,0.37,0.437,Immediate,0.3595185630295782,False
GSE139258,0.47,0.743,Immediate,0.1290111862394247,False
GSE33886,0.0,0.00564,Immediate,2.248720896016658,True
